#SampleID,Region
S050,Italy
S080,Italy
S330,Italy
S220,Italy
S010,Italy
S100,Italy
S120,Italy
S210,Italy
S130,Italy
S180,Italy
S020,Italy
S030,Italy
S110,Italy
S150,Italy
S200,Italy
S240,Italy
S260,Italy
S280,Italy
S320,Italy
C052,Italy
S290,Italy
C042,Italy
C010,Italy
C012,Italy
C021,Italy
C002,Italy
C007,Italy
C018,Italy
C024,Italy
C054,Italy
C003,Italy
C011,Italy
C048,Italy
K105,Italy
K108,Italy
K304,Italy
K306,Italy
K100,Italy
K316,Italy
K124,Italy
K106,Italy
K125,Italy
K301,Italy
K309,Italy
K119,Italy
K113,Italy
Y2,Italy
Y7,Italy
Y1,Italy
Y14,Italy
Y4,Italy
Y6,Italy
Y5,Italy
Y15,Italy
Y13,Italy
Y8,Italy
Y10,Italy
Y3,Italy
Y11,Italy
Y9,Italy
Y12,Italy
SRR5602092,Jiangsu
SRR5602349,Jiangsu
SRR5602155,Jiangsu
SRR5602324,Jiangsu
SRR5602182,Jiangsu
SRR5602333,Jiangsu
SRR5602119,Jiangsu
SRR5602168,Jiangsu
SRR5602220,Jiangsu
SRR5602125,Jiangsu
SRR5602145,Jiangsu
SRR5602179,Jiangsu
SRR5602134,Jiangsu
SRR5602335,Jiangsu
SRR5602256,Jiangsu
SRR5602284,Jiangsu
SRR5602016,Jiangsu
SRR5602160,Jiangsu
SRR5602159,Jiangsu
SRR5602351,Jiangsu
SRR5602345,Jiangsu
SRR5602234,Jiangsu
SRR5602290,Jiangsu
SRR5602138,Jiangsu
SRR5602260,Jiangsu
SRR5602010,Jiangsu
SRR5602193,Jiangsu
SRR5602210,Jiangsu
SRR5602176,Jiangsu
SRR5602297,Jiangsu
SRR5602137,Jiangsu
SRR5602338,Jiangsu
SRR5602340,Jiangsu
SRR5602171,Jiangsu
SRR5602174,Jiangsu
SRR5602005,Jiangsu
SRR5601934,Jiangsu
SRR5602011,Jiangsu
SRR5602205,Jiangsu
SRR5602311,Jiangsu
SRR5602318,Jiangsu
SRR5602098,Jiangsu
SRR5602278,Jiangsu
SRR5602189,Jiangsu
SRR5602219,Jiangsu
SRR5602132,Jiangsu
SRR5602133,Jiangsu
SRR5602347,Jiangsu
SRR5602354,Jiangsu
SRR5602152,Jiangsu
SRR5601989,Jiangsu
SRR5602231,Jiangsu
SRR5602177,Jiangsu
SRR5602299,Jiangsu
SRR5602296,Jiangsu
SRR5602292,Jiangsu
SRR5602139,Jiangsu
SRR5602135,Jiangsu
SRR5602199,Jiangsu
SRR5602224,Jiangsu
SRR5602196,Jiangsu
SRR5602116,Jiangsu
SRR5602263,Jiangsu
SRR5602167,Jiangsu
SRR5602122,Jiangsu
SRR5602175,Jiangsu
SRR5601927,Jiangsu
SRR5602218,Jiangsu
SRR5602008,Jiangsu
SRR5602310,Jiangsu
SRR5602317,Jiangsu
SRR5602099,Jiangsu
SRR5602094,Jiangsu
SRR5602341,Jiangsu
SRR5602192,Jiangsu
SRR5601996,Jiangsu
SRR5602079,Jiangsu
SRR5602294,Jiangsu
SRR5602141,Jiangsu
SRR5602142,Jiangsu
SRR5601933,Jiangsu
SRR5602343,Jiangsu
SRR5602117,Jiangsu
SRR5602198,Jiangsu
SRR5602118,Jiangsu
SRR5602166,Jiangsu
SRR5602123,Jiangsu
SRR5602115,Jiangsu
SRR5602173,Jiangsu
SRR5602172,Jiangsu
SRR5602147,Jiangsu
SRR5601925,Jiangsu
SRR5601931,Jiangsu
SRR5601928,Jiangsu
SRR5601929,Jiangsu
SRR5601923,Jiangsu
SRR5602332,Jiangsu
SRR5602015,Jiangsu
SRR5602314,Jiangsu
SRR5602319,Jiangsu
SRR5602281,Jiangsu
SRR5602280,Jiangsu
SRR5602279,Jiangsu
SRR5602096,Jiangsu
SRR5602097,Jiangsu
SRR5602201,Jiangsu
SRR5602214,Jiangsu
SRR5602130,Jiangsu
SRR5602158,Jiangsu
SRR5602151,Jiangsu
SRR5602252,Jiangsu
SRR5602253,Jiangsu
SRR5602330,Jiangsu
SRR5602185,Jiangsu
SRR5602184,Jiangsu
SRR5602178,Jiangsu
SRR5602180,Jiangsu
SRR5602136,Jiangsu
SRR5601942,Jiangsu
SRR5602143,Jiangsu
SRR5602337,Jiangsu
SRR5602339,Jiangsu
SRR5602336,Jiangsu
SRR5602342,Jiangsu
SRR5602289,Jiangsu
SRR5602195,Jiangsu
SRR5602169,Jiangsu
SRR5602121,Jiangsu
SRR5602170,Jiangsu
SRR5602114,Jiangsu
SRR5601926,Jiangsu
SRR5602255,Jiangsu
SRR5602286,Jiangsu
SRR5602076,Jiangsu
SRR5602321,Jiangsu
SRR5602258,Jiangsu
SRR5602186,Jiangsu
SRR5602203,Jiangsu
SRR5602215,Jiangsu
SRR5602217,Jiangsu
SRR5602014,Jiangsu
SRR5602012,Jiangsu
SRR5602313,Jiangsu
SRR5602315,Jiangsu
SRR5602316,Jiangsu
SRR5602017,Jiangsu
SRR5602095,Jiangsu
SRR5602287,Jiangsu
SRR5602194,Jiangsu
SRR5602191,Jiangsu
SRR5602187,Jiangsu
SRR5602202,Jiangsu
SRR5602212,Jiangsu
SRR5602213,Jiangsu
SRR5602209,Jiangsu
SRR5601994,Jiangsu
SRR5602131,Jiangsu
SRR5602165,Jiangsu
SRR5602156,Jiangsu
SRR5602353,Jiangsu
SRR5602153,Jiangsu
SRR5602154,Jiangsu
SRR5602248,Jiangsu
SRR5602249,Jiangsu
SRR5602250,Jiangsu
SRR5602331,Jiangsu
SRR5602327,Jiangsu
SRR5602323,Jiangsu
SRR5602183,Jiangsu
SRR5602293,Jiangsu
SRR5602140,Jiangsu
SRR5601941,Jiangsu
SRR5602197,Jiangsu
SRR5602265,Jiangsu
SRR5602223,Jiangsu
SRR5602312,Jiangsu
SRR5602285,Jiangsu
SRR5602320,Jiangsu
SRR5602093,Jiangsu
SRR5601993,Jiangsu
SRR5602157,Jiangsu
SRR5602148,Jiangsu
SRR5601995,Jiangsu
SRR5602080,Jiangsu
SRR5602233,Jiangsu
SRR5602232,Jiangsu
SRR5602181,Jiangsu
SRR5601932,Jiangsu
SRR5602100,Jiangsu
SRR5602101,Jiangsu
SRR5602207,Jiangsu
SRR5602124,Jiangsu
SRR5601990,Jiangsu
SRR5602245,Jiangsu
SRR5602246,Jiangsu
SRR5602247,Jiangsu
SRR5602329,Jiangsu
SRR5602328,Jiangsu
SRR5610012,Jiangsu
SRR5601966,Jiangsu
SRR5609969,Jiangsu
SRR5602264,Jiangsu
SRR5602025,Jiangsu
SRR5601981,Jiangsu
SRR5601961,Jiangsu
SRR5602059,Jiangsu
SRR5602273,Jiangsu
SRR5610011,Jiangsu
SRR5601991,Jiangsu
SRR5602261,Jiangsu
SRR5602230,Jiangsu
SRR5602306,Jiangsu
SRR5602309,Jiangsu
SRR5602034,Jiangsu
SRR5602226,Jiangsu
