study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA392012	SRP110600	SAMN07280286	SRS2317885	SRX2961021	SRR5760852	SRA581706	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	130		PAIRED	AMPLICON	METAGENOMIC	PCR	23561	11149688	SUB2811677	2017-11-09	2017-11-09	Illumina MiSeq sequencing; TZ_HADZA_261	Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania	PRJNA392012	130	TZ_HADZA_329.fastq.gz	172238;1319759;2306567	ca8dd8a376cc9e7ef1d4ff1f50b494ed;c1b4cc210c9702b35a4ae2a8260e2d95;885391e13f29b7f3ad7296caef171613	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/002/SRR5760852/SRR5760852.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/002/SRR5760852/SRR5760852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/002/SRR5760852/SRR5760852_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/002/SRR5760852/SRR5760852.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/002/SRR5760852/SRR5760852_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/002/SRR5760852/SRR5760852_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/002/SRR5760852/SRR5760852.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/002/SRR5760852/SRR5760852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/002/SRR5760852/SRR5760852_2.fastq.gz							5122115	6993dacee937af50913c9e638ce84ea0	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/002/SRR5760852	fasp.sra.ebi.ac.uk:/vol1/srr/SRR576/002/SRR5760852	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/002/SRR5760852				TZ_HADZA_329		329		2017-11-09
PRJNA392012	SRP110600	SAMN07280285	SRS2317884	SRX2961020	SRR5760853	SRA581706	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	129		PAIRED	AMPLICON	METAGENOMIC	PCR	27956	13316613	SUB2811677	2017-11-09	2017-11-09	Illumina MiSeq sequencing; TZ_HADZA_260	Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania	PRJNA392012	129	TZ_HADZA_326.fastq.gz	186431;1592654;2682332	09e604fb80291640c66e8cb2eeb92b67;19498c8d42f0b963e448f31fabdf273f;c24c4a338e1421874ec08baef21703dc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/003/SRR5760853/SRR5760853.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/003/SRR5760853/SRR5760853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/003/SRR5760853/SRR5760853_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/003/SRR5760853/SRR5760853.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/003/SRR5760853/SRR5760853_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/003/SRR5760853/SRR5760853_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/003/SRR5760853/SRR5760853.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/003/SRR5760853/SRR5760853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/003/SRR5760853/SRR5760853_2.fastq.gz							6078696	f742bbacf10a32895eb7ccc5d4e1d533	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/003/SRR5760853	fasp.sra.ebi.ac.uk:/vol1/srr/SRR576/003/SRR5760853	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/003/SRR5760853				TZ_HADZA_326		326		2017-11-09
PRJNA392012	SRP110600	SAMN07280284	SRS2317883	SRX2961019	SRR5760854	SRA581706	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	128		PAIRED	AMPLICON	METAGENOMIC	PCR	29091	13657147	SUB2811677	2017-11-09	2017-11-09	Illumina MiSeq sequencing; TZ_HADZA_259	Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania	PRJNA392012	128	TZ_HADZA_325.fastq.gz	244613;1673272;2818083	25705e9c0097e4f2139e43d309b6c29d;49f0f7197e1e92845b6faea65fe7b24d;71ffc91bc315a62123bd600dc2179dce	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/004/SRR5760854/SRR5760854.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/004/SRR5760854/SRR5760854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/004/SRR5760854/SRR5760854_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/004/SRR5760854/SRR5760854.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/004/SRR5760854/SRR5760854_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/004/SRR5760854/SRR5760854_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/004/SRR5760854/SRR5760854.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/004/SRR5760854/SRR5760854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/004/SRR5760854/SRR5760854_2.fastq.gz							6277155	47e84987a09300b02e0d62329efb5c80	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/004/SRR5760854	fasp.sra.ebi.ac.uk:/vol1/srr/SRR576/004/SRR5760854	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/004/SRR5760854				TZ_HADZA_325		325		2017-11-09
PRJNA392012	SRP110600	SAMN07280283	SRS2317882	SRX2961018	SRR5760855	SRA581706	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	127		PAIRED	AMPLICON	METAGENOMIC	PCR	24841	11717155	SUB2811677	2017-11-09	2017-11-09	Illumina MiSeq sequencing; TZ_HADZA_258	Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania	PRJNA392012	127	TZ_HADZA_324.fastq.gz	194367;1428363;2440983	552fed91239fafe5892c6e7c726069a2;004a17ca3084088890f68c572ed08c2f;b0ca454e75783b85787854862113bdfd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/005/SRR5760855/SRR5760855.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/005/SRR5760855/SRR5760855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/005/SRR5760855/SRR5760855_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/005/SRR5760855/SRR5760855.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/005/SRR5760855/SRR5760855_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/005/SRR5760855/SRR5760855_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/005/SRR5760855/SRR5760855.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/005/SRR5760855/SRR5760855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/005/SRR5760855/SRR5760855_2.fastq.gz							5396915	27c5b91056fa0d96ad74626e8ad1fd04	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/005/SRR5760855	fasp.sra.ebi.ac.uk:/vol1/srr/SRR576/005/SRR5760855	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/005/SRR5760855				TZ_HADZA_324		324		2017-11-09
PRJNA392012	SRP110600	SAMN07280282	SRS2317881	SRX2961017	SRR5760856	SRA581706	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	126		PAIRED	AMPLICON	METAGENOMIC	PCR	33622	15898002	SUB2811677	2017-11-09	2017-11-09	Illumina MiSeq sequencing; TZ_HADZA_257	Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania	PRJNA392012	126	TZ_HADZA_284.fastq.gz	265046;1882264;3234940	958b2f4e6a36692689af10c53a7fe8fe;475830abdb0c90d99d53bdd58d4c6683;8dc0dbb9811dd449b9e5c20762da4013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/006/SRR5760856/SRR5760856.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/006/SRR5760856/SRR5760856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/006/SRR5760856/SRR5760856_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/006/SRR5760856/SRR5760856.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/006/SRR5760856/SRR5760856_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/006/SRR5760856/SRR5760856_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/006/SRR5760856/SRR5760856.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/006/SRR5760856/SRR5760856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/006/SRR5760856/SRR5760856_2.fastq.gz							7315302	b1ff4ec12136bfaf3e16c8b16ca29842	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/006/SRR5760856	fasp.sra.ebi.ac.uk:/vol1/srr/SRR576/006/SRR5760856	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/006/SRR5760856				TZ_HADZA_284		284		2017-11-09
PRJNA392012	SRP110600	SAMN07280281	SRS2317880	SRX2961016	SRR5760857	SRA581706	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	125		PAIRED	AMPLICON	METAGENOMIC	PCR	30259	14053721	SUB2811677	2017-11-09	2017-11-09	Illumina MiSeq sequencing; TZ_HADZA_256	Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania	PRJNA392012	125	TZ_HADZA_283.fastq.gz	277527;1660647;2835944	9bc38cbc74661690903c95a1e1dff0a1;14b792e5ef6cf8daef293c5b64376297;44153962f31f3ca3e387007a30f96739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/007/SRR5760857/SRR5760857.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/007/SRR5760857/SRR5760857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/007/SRR5760857/SRR5760857_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/007/SRR5760857/SRR5760857.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/007/SRR5760857/SRR5760857_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/007/SRR5760857/SRR5760857_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/007/SRR5760857/SRR5760857.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/007/SRR5760857/SRR5760857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/007/SRR5760857/SRR5760857_2.fastq.gz							6510415	dcc66ebe3db204de37c905b63a45c227	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/007/SRR5760857	fasp.sra.ebi.ac.uk:/vol1/srr/SRR576/007/SRR5760857	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/007/SRR5760857				TZ_HADZA_283		283		2017-11-09
PRJNA392012	SRP110600	SAMN07280280	SRS2317879	SRX2961015	SRR5760858	SRA581706	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	124		PAIRED	AMPLICON	METAGENOMIC	PCR	31262	14605534	SUB2811677	2017-11-09	2017-11-09	Illumina MiSeq sequencing; TZ_HADZA_255	Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania	PRJNA392012	124	TZ_HADZA_282.fastq.gz	283598;1785583;3016469	ba278874b19d876005c7a3eba70d1821;870157ee3744bdac95831c137dbfcdf4;83fe76eb6d66815fd21901a99aff1c1e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/008/SRR5760858/SRR5760858.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/008/SRR5760858/SRR5760858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/008/SRR5760858/SRR5760858_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/008/SRR5760858/SRR5760858.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/008/SRR5760858/SRR5760858_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/008/SRR5760858/SRR5760858_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/008/SRR5760858/SRR5760858.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/008/SRR5760858/SRR5760858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/008/SRR5760858/SRR5760858_2.fastq.gz							6712856	1a6867805dd4bb07b5e4538fc1a2df52	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/008/SRR5760858	fasp.sra.ebi.ac.uk:/vol1/srr/SRR576/008/SRR5760858	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/008/SRR5760858				TZ_HADZA_282		282		2017-11-09
PRJNA392012	SRP110600	SAMN07280279	SRS2317878	SRX2961014	SRR5760859	SRA581706	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	123		PAIRED	AMPLICON	METAGENOMIC	PCR	35822	16843162	SUB2811677	2017-11-09	2017-11-09	Illumina MiSeq sequencing; TZ_HADZA_254	Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania	PRJNA392012	123	TZ_HADZA_279.fastq.gz	311316;2165742;3585044	236af33e14358d6b57829ddae998c747;8ae983f53938ebfc180bb9a0d1a2e13b;47f46dd1389b9dfd2b382f7efc1ade82	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/009/SRR5760859/SRR5760859.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/009/SRR5760859/SRR5760859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/009/SRR5760859/SRR5760859_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/009/SRR5760859/SRR5760859.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/009/SRR5760859/SRR5760859_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/009/SRR5760859/SRR5760859_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/009/SRR5760859/SRR5760859.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/009/SRR5760859/SRR5760859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/009/SRR5760859/SRR5760859_2.fastq.gz							7802806	152551b2cb5652258fa28bef2c75be71	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/009/SRR5760859	fasp.sra.ebi.ac.uk:/vol1/srr/SRR576/009/SRR5760859	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/009/SRR5760859				TZ_HADZA_279		279		2017-11-09
PRJNA392012	SRP110600	SAMN07280278	SRS2317877	SRX2961013	SRR5760860	SRA581706	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	122		PAIRED	AMPLICON	METAGENOMIC	PCR	28650	13468440	SUB2811677	2017-11-09	2017-11-09	Illumina MiSeq sequencing; TZ_HADZA_253	Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania	PRJNA392012	122	TZ_HADZA_276.fastq.gz	262788;1731550;2905031	6d35f7e16c03564cd67b77aad20e63e6;39b6243f24b5115345dacb49735afee7;7e84c87c21c28476f7294c6bb1273e4d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/000/SRR5760860/SRR5760860.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/000/SRR5760860/SRR5760860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/000/SRR5760860/SRR5760860_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/000/SRR5760860/SRR5760860.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/000/SRR5760860/SRR5760860_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/000/SRR5760860/SRR5760860_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/000/SRR5760860/SRR5760860.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/000/SRR5760860/SRR5760860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/000/SRR5760860/SRR5760860_2.fastq.gz							6284876	8cae523bd5b7c6d1229c336e688caa03	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/000/SRR5760860	fasp.sra.ebi.ac.uk:/vol1/srr/SRR576/000/SRR5760860	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/000/SRR5760860				TZ_HADZA_276		276		2017-11-09
PRJNA392012	SRP110600	SAMN07280277	SRS2317876	SRX2961012	SRR5760861	SRA581706	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	121		PAIRED	AMPLICON	METAGENOMIC	PCR	31112	14668149	SUB2811677	2017-11-09	2017-11-09	Illumina MiSeq sequencing; TZ_HADZA_252	Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania	PRJNA392012	121	TZ_HADZA_275.fastq.gz	255945;1741211;3001205	77994b4bfca38c6b79fbc3c381df3010;744074be42be5196bc10243755f407f5;a087afadcf9f7448b3f7b8f38fcd9ef7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/001/SRR5760861/SRR5760861.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/001/SRR5760861/SRR5760861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/001/SRR5760861/SRR5760861_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/001/SRR5760861/SRR5760861.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/001/SRR5760861/SRR5760861_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR576/001/SRR5760861/SRR5760861_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/001/SRR5760861/SRR5760861.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/001/SRR5760861/SRR5760861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR576/001/SRR5760861/SRR5760861_2.fastq.gz							6679272	a70e32842900d223216fe6f111063d53	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/001/SRR5760861	fasp.sra.ebi.ac.uk:/vol1/srr/SRR576/001/SRR5760861	ftp.sra.ebi.ac.uk/vol1/srr/SRR576/001/SRR5760861				TZ_HADZA_275		275		2017-11-09
