,root:D,root:W
SRR5761074,0.94679976,0.0532002
SRR5761072,0.20144375,0.7985562
SRR5761061,0.9521237,0.047876216
SRR5761056,0.37607753,0.62392247
SRR5761078,0.1634628,0.8365371
SRR5760958,0.19004674,0.8099533
SRR5760872,0.8877323,0.11226767
SRR5761156,0.18540812,0.8145919
SRR5761157,0.92520285,0.074797094
SRR5761163,0.84646016,0.15353988
SRR5761051,0.88150865,0.11849135
SRR5761052,0.20375673,0.7962433
SRR5760938,0.18888134,0.81111866
SRR5760937,0.94696105,0.05303901
SRR5760861,0.2809794,0.7190206
SRR5760858,0.92804396,0.07195599
SRR5760892,0.21604273,0.7839573
SRR5761164,0.5314658,0.4685342
SRR5761158,0.95210385,0.047896136
SRR5761045,0.3038394,0.6961606
SRR5760959,0.19814822,0.8018518
SRR5760957,0.029317154,0.9706828
SRR5761010,0.84245384,0.15754607
SRR5761015,0.87812793,0.121872075
SRR5761023,0.9339974,0.066002585
SRR5761026,0.9362711,0.06372888
SRR5761197,0.31196237,0.6880376
SRR5761199,0.7700648,0.22993527
SRR5760932,0.9519085,0.04809149
SRR5760974,0.9510512,0.048948776
SRR5761102,0.9459374,0.054062568
SRR5761101,0.8147025,0.18529753
SRR5761129,0.9505437,0.04945626
SRR5761135,0.9241651,0.07583492
SRR5760877,0.9516707,0.048329256
SRR5760876,0.949787,0.050212987
SRR5760881,0.9518719,0.04812812
SRR5760916,0.95074624,0.049253803
SRR5761000,0.95194393,0.04805604
SRR5761179,0.9520883,0.047911733
SRR5761110,0.944608,0.05539202
SRR5760989,0.94572276,0.054277245
SRR5760952,0.94762504,0.05237499
SRR5760948,0.72494453,0.27505547
