SampleID,Env
SRR5761118,root:D
SRR5761123,root:D
SRR5760911,root:D
SRR5760906,root:D
SRR5760908,root:D
SRR5760995,root:D
SRR5760990,root:D
SRR5761084,root:D
SRR5761076,root:W
SRR5761035,root:W
SRR5761048,root:W
SRR5760939,root:W
SRR5760944,root:W
SRR5760942,root:W
SRR5760936,root:W
SRR5761090,root:W
SRR5761093,root:W
SRR5760967,root:W
SRR5760960,root:W
SRR5761171,root:W
SRR5761159,root:W
SRR5761042,root:W
SRR5761041,root:W
SRR5761136,root:W
SRR5761141,root:D
SRR5761142,root:D
SRR5761027,root:D
SRR5761146,root:D
SRR5761195,root:D
SRR5761201,root:D
SRR5761193,root:D
SRR5760929,root:D
SRR5761131,root:D
SRR5761134,root:D
SRR5760875,root:D
SRR5760880,root:D
SRR5760924,root:D
SRR5761007,root:D
SRR5761006,root:D
SRR5761001,root:D
SRR5760900,root:D
SRR5760897,root:D
SRR5761111,root:D
SRR5760951,root:D
