SampleID,Env
SRR5761070,root:D
SRR5761067,root:D
SRR5761062,root:D
SRR5761063,root:D
SRR5760862,root:D
SRR5760863,root:D
SRR5760910,root:D
SRR5760913,root:D
SRR5760997,root:D
SRR5761083,root:D
SRR5761184,root:W
SRR5761182,root:W
SRR5761039,root:W
SRR5760943,root:W
SRR5760859,root:W
SRR5761087,root:W
SRR5761094,root:W
SRR5760963,root:W
SRR5760962,root:W
SRR5760890,root:W
SRR5760886,root:W
SRR5761166,root:W
SRR5761170,root:W
SRR5761168,root:W
SRR5761043,root:W
SRR5761044,root:W
SRR5761144,root:D
SRR5761013,root:D
SRR5761019,root:D
SRR5761024,root:D
SRR5761149,root:D
SRR5761148,root:D
SRR5761152,root:D
SRR5761198,root:D
SRR5761192,root:D
SRR5760933,root:D
SRR5760976,root:D
SRR5761103,root:D
SRR5761100,root:D
SRR5761130,root:D
SRR5760919,root:D
SRR5761003,root:D
SRR5760895,root:D
SRR5760987,root:D
