,root:D,root:W
SRR5761070,0.9756874,0.024312573
SRR5761067,0.975718,0.024281925
SRR5761062,0.9756964,0.024303615
SRR5761063,0.9754318,0.02456823
SRR5760862,0.97397757,0.026022436
SRR5760863,0.97532,0.024679985
SRR5760910,0.9598996,0.04010039
SRR5760913,0.9687695,0.031230537
SRR5760997,0.9755096,0.024490377
SRR5761083,0.9655199,0.03448003
SRR5761184,0.011134554,0.98886544
SRR5761182,0.0340157,0.96598434
SRR5761039,0.03446624,0.96553373
SRR5760943,0.93840134,0.061598595
SRR5760859,0.011740063,0.9882599
SRR5761087,0.7907202,0.20927978
SRR5761094,0.024749452,0.97525054
SRR5760963,0.4281944,0.5718056
SRR5760962,0.9468414,0.053158596
SRR5760890,0.01345604,0.98654395
SRR5760886,0.96495837,0.035041623
SRR5761166,0.4089587,0.5910413
SRR5761170,0.011175034,0.988825
SRR5761168,0.9381682,0.06183171
SRR5761043,0.96696955,0.03303045
SRR5761044,0.9746405,0.025359511
SRR5761144,0.50443894,0.49556103
SRR5761013,0.63273257,0.36726746
SRR5761019,0.13567686,0.86432314
SRR5761024,0.8874034,0.11259658
SRR5761149,0.031685535,0.96831447
SRR5761148,0.96988994,0.030110084
SRR5761152,0.8937264,0.10627357
SRR5761198,0.9555563,0.04444366
SRR5761192,0.82429665,0.17570332
SRR5760933,0.93398005,0.066019975
SRR5760976,0.9198134,0.080186665
SRR5761103,0.97401696,0.025983013
SRR5761100,0.9510391,0.04896093
SRR5761130,0.887314,0.112685986
SRR5760919,0.9725175,0.027482541
SRR5761003,0.9738166,0.026183428
SRR5760895,0.9686762,0.031323764
SRR5760987,0.9735153,0.026484663
