,root:D,root:W
SRR5761066,0.5528647,0.44713533
SRR5761057,0.5730474,0.42695263
SRR5761125,0.5406648,0.45933518
SRR5760869,0.539928,0.46007195
SRR5760870,0.54765016,0.45234987
SRR5760871,0.5493299,0.4506701
SRR5760864,0.55244225,0.44755775
SRR5760865,0.5614598,0.43854022
SRR5760907,0.54850554,0.45149443
SRR5760909,0.54905105,0.45094892
SRR5760915,0.53673965,0.4632604
SRR5760993,0.55331767,0.4466824
SRR5761082,0.5480092,0.45199075
SRR5761079,0.10437032,0.89562964
SRR5761183,0.03225824,0.9677417
SRR5760905,0.5641916,0.4358084
SRR5761049,0.5055838,0.49441618
SRR5761047,0.56982505,0.43017498
SRR5760940,0.028623933,0.9713761
SRR5760853,0.5660678,0.43393221
SRR5760885,0.5463782,0.45362183
SRR5760893,0.5467374,0.45326263
SRR5761038,0.5370022,0.46299773
SRR5761137,0.5530517,0.44694823
SRR5761145,0.224452,0.775548
SRR5761025,0.5090657,0.49093434
SRR5761028,0.063369304,0.9366307
SRR5761154,0.53611743,0.46388254
SRR5760931,0.5431268,0.45687312
SRR5760935,0.55567986,0.44432008
SRR5760971,0.54510754,0.4548924
SRR5760883,0.5250502,0.47494975
SRR5760925,0.5442171,0.45578286
SRR5760922,0.55164146,0.4483585
SRR5760923,0.5573275,0.44267246
SRR5760917,0.553339,0.44666106
SRR5760899,0.54852426,0.4514758
SRR5760898,0.5347643,0.46523565
SRR5760903,0.5330088,0.46699116
SRR5761115,0.54795676,0.45204324
SRR5760986,0.5420977,0.45790234
SRR5760984,0.5729497,0.42705035
SRR5760985,0.5724039,0.42759603
SRR5760953,0.55150366,0.44849637
