,root:BJN,root:TT
MTC7T1,0.66781914,0.33218083
MTC7T2,0.6675426,0.3324574
MTT7T3,0.35601327,0.64398676
MTT7T4,0.17597167,0.8240283
MTT7T5,0.16285864,0.8371414
MTT7T7,0.09754077,0.90245926
MTT7T10,0.10324668,0.8967533
MTT7T12,0.10227701,0.89772296
MTT7T13,0.62203664,0.3779634
MTT7T14,0.4126036,0.5873964
MTT7T8,0.10021946,0.8997805
MTT7T9,0.07628889,0.9237112
MTT7T17,0.33600995,0.6639901
MTT7T18,0.097533345,0.90246665
MTT7T19,0.29944003,0.70056
MTB7T21,0.37011066,0.62988937
MTB7T22,0.6678146,0.33218542
MTB7T23,0.6678501,0.33215
MTB7T24,0.10101793,0.89898205
