#OTU ID	MTC1T1	MTC1T2	MTT1T4	MTT1T5	MTT1T11	MTT1T12	MTT1T13	MTT1T15	MTT1T8	MTT1T9	MTT1T17
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	3.4779584384000006e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.000131203463771	0.00316977682386	0.000630754611881	0.00994467256962	0.0127248286724999	0.0174815665417999	0.0920615598644	0.00612890832251	0.00661044959532	0.287811014817	0.0239470288337
k__Bacteria;p__Bacteroidetes	0.712311805032	0.693843279874	0.634711163537	0.0489082257522	0.0724482306468	0.156374652484	0.0418833144944	0.412301725242	0.38556718505	0.0448350573106	0.203523301813
k__Bacteria;p__Cyanobacteria	0.0001640043297139	2.98098133906e-05	8.19161833612e-06	0.000203784273968	0.000733966138596	0.0023192916716999	0.00126945483001	0.000384200223202	0.0	4.36818563042e-05	0.001713524148
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.268967100731	0.289165126493	0.344564042072	0.931559051588	0.8828045753299999	0.74633597244	0.854203982262	0.4411990706009999	0.578761811941	0.648037811015	0.745457045546
k__Bacteria;p__Fusobacteria	8.20021648572e-06	0.0	1.63832366722e-05	1.01892136984e-05	0.0	7.55469599903e-06	3.4779584384000006e-05	0.0001097714923429	1.69498707572e-05	0.0	0.0191184870216
k__Bacteria;p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	0.0	0.000139112462489	8.19161833612e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.11546191111e-05
k__Bacteria;p__OD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.0173434578673	0.0129374590115	0.0129427569711	0.0074279367861199	0.000742212949142	0.0059908739272299	0.00574732631945	0.127947821951	0.0168905462096	0.0188356164384	0.0050189333841
k__Bacteria;p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes	0.0	0.0	0.0	2.03784273968e-05	0.0	7.55469599903e-06	0.0	5.48857461717e-05	0.000322047544387	0.0	3.17319286666e-05
k__Bacteria;p__TM7	0.0	0.0	0.0	2.03784273968e-05	6.59744843682e-05	2.26640879971e-05	0.0	2.74428730859e-05	0.0	4.36818563042e-05	0.0
k__Bacteria;p__Tenericutes	0.0	9.93660446352e-06	0.0	4.07568547935e-05	5.77276738221e-05	2.26640879971e-05	0.0002956264672639	5.48857461717e-05	0.0	1.74727425217e-05	0.0
k__Bacteria;p__Verrucomicrobia	5.74015154e-05	4.96830223176e-05	0.0048494380549799	0.00148762519996	0.0299606627137	0.0710292517829	0.00417355012608	0.0107941967470999	0.0113564134072999	0.000157254682695	0.000602906644666
k__Bacteria;p__[Thermi]	0.0	9.93660446352e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	3.4779584384000006e-05	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	6.56017318857e-05	0.00170909596773	0.000483305481831	0.00837553366007	0.0067788782688299	0.00944336999879	0.0426223806626	0.0016831628826	0.00600872918344	0.282184791725	0.0166486852404
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	6.56017318857e-05	0.00146068085614	0.00014744913005	0.0015691389095499	0.00594595040368	0.00803819654297	0.0494391792018	0.00444574543991	0.000601720411882	0.00562622309198	0.00729834359332
k__Bacteria;p__Bacteroidetes;c__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.712311805032	0.693823406665	0.634694780301	0.0488572796836999	0.0724317370257	0.156374652484	0.0418746195983	0.412301725242	0.385499385567	0.0448350573106	0.203523301813
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
