#OTU ID	MTC7T1	MTC7T2	MTT7T3	MTT7T4	MTT7T5	MTT7T7	MTT7T10	MTT7T12	MTT7T13	MTT7T14	MTT7T8	MTT7T9	MTT7T17	MTT7T18	MTT7T19	MTB7T21	MTB7T22	MTB7T23	MTB7T24
k__Archaea;p__Euryarchaeota	0.0	5.16763818265e-06	0.0	0.0	0.0	0.0	0.0	0.0	6.68016059106e-06	0.0	0.0	0.0	0.0	0.0	2.00820687208e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.0027010572709899	0.00295072140229	0.00361549238487	0.00739825803494	0.0684256623604	0.0110048978213	0.0820437540821	0.0188458040694	0.00691396621175	0.039684579366	0.0673424660842	0.0712351126416999	0.0540174413682	0.0736984526477999	0.0194863006821	0.00634520286775	0.00804712193821	0.00418937712168	0.00554551772064
k__Bacteria;p__Bacteroidetes	0.5307105924319999	0.532659473314	0.41784546783	0.276536953089	0.264684147143	0.5307954737380001	0.0617252016012	0.150256938433	0.525635116268	0.199131214232	0.0803352029511	0.0081342373367799	0.0737643526569	0.141084809118	0.424240395751	0.263688360177	0.451885897144	0.662301652429	0.435719249479
k__Bacteria;p__Cyanobacteria	8.57478498727e-06	0.0001343585927489	0.0	1.27336627107e-05	2.05276987081e-05	2.02668468164e-05	0.000142268667913	6.57411769862e-05	0.000835020073883	6.26829558775e-06	3.62251027887e-05	6.27780169321e-05	0.0	0.0001146611476429	0.000374865282789	5.95793696503e-05	7.843198770189999e-06	8.63789097254e-06	1.38985406532e-05
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.412490031812	0.385562652445	0.549479519742	0.646309784546	0.630426155025	0.437277486911	0.8213493536480001	0.7780139590430001	0.31939851834	0.708869011427	0.764120243191	0.743345530205	0.733533928606	0.768459011506	0.5334734615460001	0.654330427184	0.508592224253	0.302498941858	0.4837804030579999
k__Bacteria;p__Fusobacteria	0.0	5.16763818265e-06	0.0	0.0	2.05276987081e-05	6.75561560547e-06	0.0	0.0	0.0	5.0146364702e-05	0.0	1.79365762663e-05	2.6051334154e-05	5.73305738217e-06	2.67760916278e-05	9.92989494171e-06	1.56863975404e-05	1.72757819451e-05	0.000333564975678
k__Bacteria;p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
