,PC1,PC2,Treatment,People,Group,Phase,Timepoint,Description,Env,is_MT10
BJN10T1,-0.11521414873579122,-0.08556308704235653,BJN,BJN10,BJN,BJN,1.0,BJN10,root:China,False
BJN10T2,-0.23556475576637823,-0.10161814027175003,BJN,BJN10,BJN,BJN,2.0,BJN10,root:China,False
BJN10T3,-0.1318311859884689,-0.08102097627680195,BJN,BJN10,BJN,BJN,3.0,BJN10,root:China,False
BJN10T4,-0.22583024141041458,-0.09003288792005898,BJN,BJN10,BJN,BJN,4.0,BJN10,root:China,False
BJN10T5,-0.16121658247333412,-0.11430853936297274,BJN,BJN10,BJN,BJN,5.0,BJN10,root:China,False
BJN10T6,-0.14917071276791355,0.11289691130749319,BJN,BJN10,BJN,BJN,6.0,BJN10,root:China,False
BJN1T1,-0.08726127609766038,0.07532173508811889,BJN,BJN1,BJN,BJN,1.0,BJN1,root:China,False
BJN1T2,-0.09036584449254317,0.07853889978268093,BJN,BJN1,BJN,BJN,2.0,BJN1,root:China,False
BJN1T3,-0.142335213909219,0.06720331411154885,BJN,BJN1,BJN,BJN,3.0,BJN1,root:China,False
BJN1T4,-0.12390883340626269,0.08926821070808784,BJN,BJN1,BJN,BJN,4.0,BJN1,root:China,False
BJN1T5,-0.15613601116185416,0.10008475028544976,BJN,BJN1,BJN,BJN,5.0,BJN1,root:China,False
BJN1T6,-0.19853713183295796,-0.0881194989485023,BJN,BJN1,BJN,BJN,6.0,BJN1,root:China,False
BJN2T1,-0.17760377147110754,-0.09029952475109979,BJN,BJN2,BJN,BJN,1.0,BJN2,root:China,False
BJN2T2,-0.13148485543020877,-0.028866864986583758,BJN,BJN2,BJN,BJN,2.0,BJN2,root:China,False
BJN2T3,-0.24874828424166462,-0.14716132042862873,BJN,BJN2,BJN,BJN,3.0,BJN2,root:China,False
BJN2T4,-0.1898002266185376,-0.09958724546449556,BJN,BJN2,BJN,BJN,4.0,BJN2,root:China,False
BJN2T5,-0.19115315791389276,-0.12171015097218688,BJN,BJN2,BJN,BJN,5.0,BJN2,root:China,False
BJN2T6,-0.21484503950797243,-0.07031744703200297,BJN,BJN2,BJN,BJN,6.0,BJN2,root:China,False
BJN3T1,-0.03374155246663267,0.09082952755947321,BJN,BJN3,BJN,BJN,1.0,BJN3,root:China,False
BJN3T2,-0.053672556739119935,0.09549194600393089,BJN,BJN3,BJN,BJN,2.0,BJN3,root:China,False
BJN3T3,-0.07532646575674265,0.09848953130949518,BJN,BJN3,BJN,BJN,3.0,BJN3,root:China,False
BJN3T4,-0.15264395827259783,0.09393037743123957,BJN,BJN3,BJN,BJN,4.0,BJN3,root:China,False
BJN3T5,-0.10221674448085684,0.10242768259418705,BJN,BJN3,BJN,BJN,5.0,BJN3,root:China,False
BJN3T6,0.025389606991294843,0.057863064752063466,BJN,BJN3,BJN,BJN,6.0,BJN3,root:China,False
