,root:China,root:Trinidad and Tobago,Unknown
MTC8T1,0.73143274,0.26856723,0.0
MTC8T2,0.7314733,0.26852676,0.0
MTT8T4,0.560376,0.43962407,0.0
MTT8T6,0.48758882,0.5124111,0.0
MTT8T7,0.7023537,0.2976462,0.0
MTT8T11,0.30659974,0.69340026,0.0
MTT8T12,0.31646243,0.68353754,0.0
MTT8T13,0.4054667,0.5945334,0.0
MTT8T14,0.32669783,0.6733022,0.0
MTT8T15,0.7135303,0.28646976,0.0
MTT8T9,0.30543196,0.69456804,0.0
MTT8T17,0.71251756,0.2772454,0.010237038
MTB8T21,0.30573395,0.6942661,0.0
MTB8T22,0.30543196,0.69456804,0.0
MTB8T23,0.30547455,0.6945254,0.0
MTB8T24,0.6410786,0.35892144,0.0
MTB8T25,0.702128,0.2978721,0.0
MTB8T26,0.40920308,0.59079695,0.0
MTB8T27,0.6990723,0.30092773,0.0
MTB8T28,0.43119487,0.5688051,0.0
MTB8T29,0.6702392,0.32976085,0.0
MTB8T30,0.6324381,0.36756182,0.0
