,root:BJN,root:TT
MTC5T1,0.5554682,0.4445318
MTC5T2,0.56963485,0.43036518
MTT5T4,0.2397193,0.76028067
MTT5T6,0.5716994,0.42830056
MTT5T7,0.5764663,0.42353365
MTT5T11,0.088254556,0.9117454
MTT5T12,0.11048256,0.88951737
MTT5T13,0.5741271,0.42587292
MTT5T14,0.5665357,0.43346432
MTT5T15,0.5764663,0.42353365
MTT5T9,0.57646465,0.42353538
MTT5T17,0.09694484,0.9030552
MTT5T18,0.036814656,0.9631854
MTT5T19,0.57637274,0.42362723
MTB5T21,0.5749686,0.42503142
MTB5T22,0.50265265,0.49734735
MTB5T23,0.54958636,0.45041367
MTB5T24,0.5562978,0.44370222
MTB5T25,0.57644784,0.42355216
