#OTU ID	MTC6T1	MTC6T2	MTT6T3	MTT6T4	MTT6T5	MTT6T7	MTT6T11	MTT6T12	MTT6T13	MTT6T14	MTT6T15	MTT6T16	MTT6T8	MTT6T9	MTT6T17	MTT6T18	MTT6T19	MTT6T20	MTB6T21	MTB6T22	MTB6T23	MTB6T24	MTB6T25	MTB6T26	MTB6T27	MTB6T28	MTB6T29
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.38747649938e-05	0.000105335229367	0.0	1.43164947494e-05	0.0	0.0	0.0	3.11103275917e-05	2.94511773108e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.0248812757544	0.0126408375035	0.0902480894527	0.0444081284638	0.0749448690952	0.0574228105379	0.270333115807	0.223056723654	0.292017411629	0.197872228367	0.1388012126599999	0.0510168290396	0.128659612816	0.0286614405789	0.196510729507	0.120785846875	0.124887717387	0.0507468971511999	0.0402444878986	0.0027435516702199	0.0084655553324	0.0203671610202	0.104898624621	0.0375368791447	0.0027749335945	0.0115283228868	0.00168731620306
k__Bacteria;p__Bacteroidetes	0.6025370955520001	0.841417738618	0.541375859166	0.628454952395	0.412254812555	0.385680302932	0.0270108088241	0.0326128872321	0.166850154977	0.145088744931	0.660400738818	0.639668143652	0.192667233216	0.0957555470778999	0.300416220123	0.357162115917	0.323300298929	0.685104705965	0.787290844584	0.763798884879	0.756085559349	0.763645844516	0.419638265513	0.372044931655	0.573120242176	0.5392068420130001	0.4550643590609999
k__Bacteria;p__Cyanobacteria	0.0	0.0	1.98842735281e-05	0.0	8.29036162557e-06	1.618227717e-05	0.000165020214976	0.0008906109407419	0.000948493419827	0.000105335229367	7.01409833766e-05	0.0	0.000224129397372	0.000295351899482	0.000259202950926	0.000409619313291	1.47255886554e-05	1.07972121598e-05	0.0	6.88346297189e-05	0.0	0.0	0.000196951626492	0.000178643930166	0.0	0.0	0.0
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.360561376277	0.133315936512	0.323311659475	0.297898607361	0.43875080831	0.5464188620620001	0.63723306105	0.6063316010800001	0.488651953727	0.4509611839679999	0.159913648656	0.302020773234	0.6728551283609999	0.8432542856790001	0.498038531516	0.450633095166	0.535797906021	0.236259197875	0.148589627999	0.211351813792	0.206688089978	0.19986043587	0.450723797227	0.541421031263	0.376634168781	0.432007498096	0.459904546112
k__Bacteria;p__Fusobacteria	0.0	0.0	7.95370941123e-05	0.0	0.0	0.0	0.0	0.000128541785262	0.0	0.000158002844051	3.8967212987e-05	7.15824737471e-06	1.8677449781e-05	0.0	4.98467213319e-06	0.0	7.3627943277e-06	1.61958182397e-05	0.0	0.0	3.0126531432e-05	0.0	0.0	1.08269048586e-05	0.0	0.0	0.0
k__Bacteria;p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
