#OTU ID	MTC10T1	MTC10T2	MTT10T4	MTT10T5	MTT10T7	MTT10T11	MTT10T12	MTT10T13	MTT10T14	MTT10T15	MTT10T9	MTB10T16	MTB10T17	MTB10T18	MTB10T19	MTB10T20	MTB10T21	MTB10T23	MTB10T24	MTB10T25
k__Archaea;p__Euryarchaeota	1.3494912417999998e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25027565877e-05	0.0	1.85130331754e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.000249655879733	0.00105008925759	0.00321181621047	0.00220904792152	0.000890660145223	0.00496776154745	0.00197483675745	0.00240640792052	0.00141767366502	0.00612611471308	0.0413673726303	0.000518050354494	0.000522038906673	0.000914498881776	0.00240410884056	0.000266009146622	0.00120127990914	0.00033995384869	0.000197902236295	0.0002580359775879
k__Bacteria;p__Bacteroidetes	0.566536665677	0.612478878887	0.197935845506	0.248493189357	0.1733919055599999	0.400236788634	0.474996018474	0.397600467531	0.18174351358	0.263531519629	0.00221230746445	0.65175175027	0.526057621276	0.447687947629	0.541130902512	0.604822950451	0.644432067621	0.466993571782	0.546210172175	0.646444632852
k__Bacteria;p__Cyanobacteria	6.74745620901e-06	7.63701278245e-05	7.16009983225e-05	0.0	0.0	7.99961601843e-06	4.77783086479e-05	0.000130633572828	0.0011813947208499	0.0001764538211299	8.33086492891e-05	8.8808632199e-05	0.000856931790199	0.0008873355486539	0.00029140713219	0.000306933630718	0.00333082156625	0.00709782429537	0.000154880011014	0.000645089943969
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.3877290761379999	0.2638683378999999	0.751953684383	0.706634201426	0.335899642226	0.491768395117	0.448383500557	0.528625941077	0.456772204595	0.6953004465639999	0.836261478081	0.30794393215	0.416153656735	0.477268817399	0.3484015104599999	0.298492955873	0.2868110386699999	0.492387094116	0.424147514606	0.3209322471249999
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	7.0576610911100006e-06	0.0	0.0	0.0	6.875451201489999e-06	0.0	1.35733708562e-05	9.25651658768e-06	0.0	0.0	1.8108888748e-05	0.0	0.0	0.0	6.18097906708e-05	0.0	0.0
k__Bacteria;p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	0.0	0.0	1.02287140461e-05	7.0576610911100006e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000108347697611	9.05444437402e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.0412134625245999	0.121380771911	0.0341741336279	0.0325993365799	0.0215569947012999	0.1011151464729999	0.0138716356108	0.016617965554	0.0301424424492	0.0304314974595	0.1037285248819999	0.0391942096772	0.0550406303866	0.0677815705839	0.0379072111123	0.0852559314924	0.063241926853	0.0324192352069	0.028575362032	0.0303929519315999
k__Bacteria;p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes	4.72321934631e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7769549763e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7	0.0	0.0	1.02287140461e-05	0.0	0.0	7.99961601843e-06	0.0	3.43772560074e-05	0.0	0.0	3.70260663507e-05	0.0	9.84979069195e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes	0.00271922485223	0.0	0.00028640399329	0.00503211235796	0.0	1.59992320369e-05	0.000477783086479	0.00195950359242	0.00058507167128	0.0001493070794179	0.00245297689573	8.8808632199e-05	0.00040384141837	0.00224550220476	0.0067145060042	4.09244840957e-05	1.09207264467e-05	1.03016317785e-05	2.58133351689e-05	0.000138233559422
k__Bacteria;p__Verrucomicrobia	1.3494912417999998e-05	7.63701278245e-05	0.0116505052985	0.00461571035359	0.4680796461509999	0.0016479208998	0.059906035993	0.0520677919488	0.3277976552129999	0.0039950954886599	0.0136533619667999	5.92057547994e-05	4.92489534597e-05	0.00154830998796	0.0623004164694	0.00998557411936	4.36829057869e-05	3.09048953354e-05	1.72088901126e-05	0.000285682689472
k__Bacteria;p__[Thermi]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.25651658768e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	1.3494912417999998e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25027565877e-05	0.0	1.85130331754e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.000222666054897	7.63701278245e-05	0.00028640399329	0.0007198814312939	0.000634029255921	0.00200790362063	0.0004379678292719	0.000515658840111	0.000517563401517	0.000936562589075	0.00842343009479	1.48014386998e-05	7.87983255356e-05	0.000117707776862	0.000558530336697	1.02311210239e-05	0.000294859614062	4.12065271139e-05	4.30222252816e-05	4.60778531407e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	2.6989824836e-05	0.0009737191297619	0.0029254122171799	0.00148916649023	0.000256630889302	0.00295985792682	0.00153686892817	0.00189074908041	0.0009001102635069	0.00518955212401	0.0329439425355	0.000503248915795	0.000443240581138	0.0007967911049139	0.0018455785038699	0.000255778025598	0.000906420295078	0.0002987473215759	0.000154880011014	0.000211958124447
k__Bacteria;p__Bacteroidetes;c__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.566536665677	0.612478878887	0.197915388077	0.2484790740349999	0.1733919055599999	0.400236788634	0.474988055423	0.397593592079	0.18174351358	0.263513421802	0.0018513033175399	0.65175175027	0.526057621276	0.447687947629	0.541130902512	0.604822950451	0.644432067621	0.466993571782	0.546210172175	0.646444632852
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.875451201489999e-06	0.0	1.80978278082e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.0	0.0	2.04574280921e-05	1.41153221822e-05	0.0	0.0	7.963051441310001e-06	0.0	0.0	0.0	0.000268438981043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.25651658768e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	6.68238618464e-05	7.16009983225e-05	0.0	0.0	0.0	3.98152572066e-05	0.000130633572828	7.87596480569e-05	0.0001674049072259	9.25651658768e-06	7.40071934992e-05	0.000856931790199	0.0008873355486539	0.0002428392768249	0.000306933630718	0.00333082156625	0.00709782429537	0.000146275565957	0.0004147006782659
k__Bacteria;p__Cyanobacteria;c__Chloroplast	6.74745620901e-06	9.54626597806e-06	0.0	0.0	0.0	7.99961601843e-06	7.963051441310001e-06	0.0	0.0011026350728	9.04891390411e-06	7.40521327014e-05	1.48014386998e-05	0.0	0.0	4.85678553649e-05	0.0	0.0	0.0	8.60444505632e-06	0.0002303892657029
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	9.44643869261e-05	0.00230065010071	0.0001738881387829	0.000550497565107	0.000362302431955	0.0002239892485159	0.0004220417263899	0.00459280140259	0.00615450392673	0.00480497328308	0.0119316498815	0.000236823019197	0.0004333907904459	6.33811106181e-05	0.00150560351631	0.000112542331263	0.000862737389291	0.000175127740234	6.88355604505e-05	4.60778531407e-05
k__Bacteria;p__Firmicutes;c__Clostridia	0.3862311408599999	0.25952478688	0.7429319585940001	0.7025548733149999	0.332623824404	0.486928627426	0.445198279981	0.517659596411	0.447253538558	0.656037209134	0.7160656101899999	0.305723716345	0.411987195272	0.474570592976	0.341941985697	0.293776409081	0.276960543415	0.489162683369	0.421944776672	0.317356605721
