,root:BJN,root:TT
MTC10T1,0.5695979,0.43040207
MTC10T2,0.5546929,0.44530702
MTT10T4,0.12817158,0.8718284
MTT10T5,0.32935813,0.6706419
MTT10T7,0.09495292,0.90504706
MTT10T11,0.50578415,0.4942159
MTT10T12,0.4937364,0.5062636
MTT10T13,0.4964067,0.5035933
MTT10T14,0.09528674,0.9047133
MTT10T15,0.18997607,0.81002396
MTT10T9,0.21811804,0.7818819
MTB10T16,0.5745508,0.42544925
MTB10T17,0.5523439,0.4476561
MTB10T18,0.57406706,0.42593297
MTB10T19,0.5686933,0.43130672
MTB10T20,0.56886196,0.43113807
MTB10T21,0.56347317,0.4365268
MTB10T23,0.4405791,0.55942094
MTB10T24,0.56885207,0.43114793
MTB10T25,0.5738445,0.4261555
