,root:BJN,root:TT
MTC7T1,0.57814807,0.42185187
MTC7T2,0.5677837,0.43221626
MTT7T3,0.037594534,0.96240544
MTT7T4,0.029284997,0.9707149
MTT7T5,0.029317101,0.9706829
MTT7T7,0.028380387,0.9716196
MTT7T10,0.028326211,0.9716737
MTT7T12,0.028330795,0.97166926
MTT7T13,0.085201256,0.9147988
MTT7T14,0.028401406,0.97159857
MTT7T8,0.028326591,0.97167337
MTT7T9,0.028326211,0.9716737
MTT7T17,0.028326211,0.9716737
MTT7T18,0.028326211,0.9716737
MTT7T19,0.047854688,0.95214534
MTB7T21,0.035479352,0.9645207
MTB7T22,0.16499506,0.8350049
MTB7T23,0.45040342,0.5495966
MTB7T24,0.14970821,0.8502918
