#OTU ID	MTC8T1	MTC8T2	MTT8T4	MTT8T6	MTT8T7	MTT8T11	MTT8T12	MTT8T13	MTT8T14	MTT8T15	MTT8T9	MTT8T17	MTB8T21	MTB8T22	MTB8T23	MTB8T24	MTB8T25	MTB8T26	MTB8T27	MTB8T28	MTB8T29	MTB8T30
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.13530725333e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.000406996047854	0.000111465514285	0.0129466705583	0.00196018435295	0.00392316706578	0.0075896843321599	0.0106546821204	0.0151950718686	0.0121341729976	0.00826317295437	0.0193806997289	0.00375772308316	0.00663851536841	0.00465220979965	0.00384977601303	0.00109502159383	0.00104801662853	0.00832607585813	0.00054458063345	0.00181660716926	0.000475958901984	0.000192586435833
k__Bacteria;p__Bacteroidetes	0.739468977262	0.7569194361560001	0.378142851186	0.402554932971	0.619187853467	0.382386154735	0.3460642855269999	0.562005475702	0.438094450418	0.650865768961	0.398043768729	0.569122860326	0.315594022341	0.151571996698	0.209408725311	0.596182316715	0.606076749751	0.385514580017	0.569773407102	0.329756447899	0.722298674558	0.782950018752
k__Bacteria;p__Cyanobacteria	0.0	4.2871351648e-05	4.1696201476e-05	3.82474995697e-05	0.0	6.565470875569999e-06	2.62818996557e-05	0.0	0.0	0.0	0.0120124015722	8.60933860022e-05	0.000289499166442	0.00234486381031	0.0015780900020399	0.0001138822457579	7.86012471398e-05	0.0	7.10322565369e-05	2.11233391775e-05	1.03469326518e-05	0.0
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.246296871486	0.225606200912	0.51357211358	0.538084947697	0.344117796912	0.5655037029259999	0.600183973298	0.408062970568	0.502782471023	0.30845132705	0.188533734612	0.340696849995	0.6256476296010001	0.7253414121709999	0.6429062309100001	0.334892644083	0.3399067265199999	0.538161806661	0.409461496571	0.6362138526860001	0.259242397591	0.202144804728
k__Bacteria;p__Fusobacteria	1.0710422312e-05	0.0	0.000138987338253	1.91237497849e-05	0.0	0.0	0.0	6.8446269678300006e-06	0.0	0.0	1.29723559096e-05	0.00098247746379	0.0	7.50356419299e-05	6.36326613724e-06	1.75203455012e-05	8.73347190442e-06	0.0	0.0	3.16850087662e-05	4.13877306073e-05	2.02722564035e-05
k__Bacteria;p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	2.14208446239e-05	0.0	1.38987338253e-05	0.0	0.0	2.62618835023e-05	1.57691397934e-05	2.05338809035e-05	2.95379089523e-05	0.0	0.0	1.01286336473e-05	9.98272987731e-06	9.37945524124e-05	0.0	3.50406910024e-05	0.0	0.0	0.0	0.0	2.06938653036e-05	0.000445989640877
k__Bacteria;p__OD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.0121991710133	0.014541962479	0.0185826071245	0.0399590751755	0.0212666225098	0.00880429644414	0.00301716208048	0.0100410677617999	0.0064924323877299	0.0241912408632999	0.381906157977	0.083399169452	0.00315454264123	0.0205972837097999	0.0183771126044	0.0154617049047999	0.00442787025554	0.0144674014235	0.0180737630522	0.0275237109482	0.0142373793289	0.0116210709833
k__Bacteria;p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes	2.14208446239e-05	6.00198923072e-05	0.000319670877983	0.0003537893710199	0.000305701329801	0.000131309417511	0.000126153118347	0.00025325119781	0.0003780852345899	0.000485558956395	0.0	5.57074850603e-05	0.000299481896319	3.751782096500001e-05	7.63591936469e-05	0.000157683109511	3.49338876177e-05	0.000608126370161	0.0001657419319199	0.00118290699394	0.0005069996999389	0.000380104807566
k__Bacteria;p__TM7	0.0	0.0	6.25443022141e-05	9.56187489243e-06	5.09502216335e-05	1.96964126267e-05	3.15382795868e-05	0.0	2.36303271619e-05	0.0	6.4861779547800006e-06	5.06431682366e-06	9.98272987731e-06	3.751782096500001e-05	0.0	0.0	1.74669438088e-05	0.0	0.0	0.0	0.0	5.06806410087e-06
k__Bacteria;p__Tenericutes	0.000599783649469	0.00157766574065	0.0743999221671	0.014486240462	0.00957864166709	0.0341141866695	0.0353018476175	0.00286789869952	0.0367451587367	0.00665042356348	6.4861779547800006e-06	0.00108376380026	0.0446028370918	0.0896113153748	0.120793881083	0.0497402608779	0.0459118618015	0.0414802246314	0.0004577634310159	0.00157368876872	0.00179001934876	0.0011808589354999
k__Bacteria;p__Verrucomicrobia	2.14208446239e-05	3.42970813184e-05	9.03417698648e-05	0.00105180623817	0.000519692260661	5.25237670046e-05	0.0033272884964099	0.000130047912389	0.000224488108038	2.60120869497e-05	6.4861779547800006e-06	5.06431682366e-06	0.00066884290178	0.000806633150747	0.0002990735084499	8.760172750610001e-06	0.0	0.00841616865371	0.000149956986022	4.22466783549e-05	5.17346632591e-05	3.04083846052e-05
k__Bacteria;p__[Thermi]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.13530725333e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
