#OTU ID	MTC9T1	MTC9T2	MTT9T4	MTT9T6	MTT9T11	MTT9T12	MTT9T13	MTT9T14	MTT9T15	MTT9T9	MTT9T17	MTT9T18	MTB9T21	MTB9T22	MTB9T23	MTB9T24	MTB9T25	MTT9T26	MTB9T27
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32692869085e-05	7.487776205339999e-06	0.0	6.920175772460001e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.0019737769632	0.00016354477856	0.119610194198	0.0364487213288	0.138085196809	0.2042248240549999	0.242941935484	0.00389453570765	0.0185172705558	0.023710534542	0.0114321303761	0.0599990343179	0.00669173130938	0.0620758402642	0.0897703920505	0.0110756496014	0.00390470262011	0.0017049329393	0.000509625685135
k__Bacteria;p__Bacteroidetes	0.511463767094	0.502038858239	0.143638030752	0.240462694437	0.0038332025630999	0.0142791340396	0.0738993548387	0.303183301929	0.37986986245	0.2654345107849999	0.386035085291	0.177269051097	0.2921028765639999	0.1830356243829999	0.323470540615	0.543654089975	0.453171863505	0.4896242652549999	0.601025491685
k__Bacteria;p__Cyanobacteria	1.7623008600000002e-05	1.09029852374e-05	2.35106032821e-05	0.0	8.17313979338e-06	4.28481141474e-05	5.16129032258e-05	0.000510867545978	0.0	0.0	0.0	0.0	1.76098192352e-05	0.0	0.0	7.28661157988e-06	7.07373663064e-05	0.000324749131296	4.16020967457e-05
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.426617792189	0.395505789485	0.646576856162	0.687246243079	0.830333791029	0.7651494863580001	0.6667664516130001	0.25328414851	0.5685693106	0.654618630822	0.485830940106	0.70977632389	0.319794317311	0.341250981735	0.48893771851	0.3818038735629999	0.4728934412309999	0.4020935493999999	0.329332598363
k__Bacteria;p__Fusobacteria	0.0001497955731	1.09029852374e-05	0.0	0.0	0.0	0.0	0.0	7.96157214511e-05	5.99022096428e-05	0.0	0.0	2.4142051833e-05	0.000466660209733	7.04835169261e-05	8.896084833060001e-06	2.18598347396e-05	0.0	4.32998841728e-05	0.0
k__Bacteria;p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
